knowledge,values,attach
接口," 在 Java 中，接口可理解为对象间相互通信的协议。接口在继承中扮演着很重要的角色。
接口只定义派生要用到的方法，但是方法的具体实现完全取决于派生类。",Java基础语法
window系统安装java,"下载JDK
首先我们需要下载java 开发工具包 JDK，下载地址：https://www.oracle.com/java/technologies/downloads/，在下载页面中根据自己的系统选择对应的版本，本文以 Window 64位系统为例：下载后 JDK 的安装根据提示进行，还有安装 JDK 的时候也会安装 JRE，一并安装就可以了。
安装JDK，安装过程中可以自定义安装目录等信息，例如我们选择安装目录为 C:\Program Files (x86)\Java\jdk1.8.0_91。
配置环境变量
1.安装完成后，右击""我的电脑""，点击""属性""，选择""高级系统设置""；2.选择""高级""选项卡，点击""环境变量""；在 ""系统变量"" 中设置 3 项属性，JAVA_HOME、PATH、CLASSPATH(大小写无所谓),若已存在则点击""编辑""，不存在则点击""新建""。
注意：如果使用 1.5 以上版本的 JDK，不用设置 CLASSPATH 环境变量，也可以正常编译和运行 Java 程序。
变量设置参数如下：
变量名：JAVA_HOME
变量值：C:\Program Files (x86)\Java\jdk1.8.0_91        // 要根据自己的实际路径配置
变量名：CLASSPATH
变量值：.;%JAVA_HOME%\lib\dt.jar;%JAVA_HOME%\lib\tools.jar;         //记得前面有个"".""
变量名：Path
变量值：%JAVA_HOME%\bin;%JAVA_HOME%\jre\bin;
JAVA_HOME 设置 PATH设置 注意：在 Windows10 中，Path 变量里是分条显示的，我们需要将 %JAVA_HOME%\bin;%JAVA_HOME%\jre\bin; 分开添加，否则无法识别：
%JAVA_HOME%\bin;
%JAVA_HOME%\jre\bin;CLASSPATH 设置。这是 Java 的环境配置，配置完成后，你可以启动 Eclipse 来编写代码，它会自动完成java环境的配置。
测试JDK是否安装成功。Linux，UNIX，Solaris，FreeBSD环境变量设置
环境变量PATH应该设定为指向Java二进制文件安装的位置。如果设置遇到困难，请参考shell文档。
例如，假设你使用bash作为shell，你可以把下面的内容添加到你的 .bashrc文件结尾: export PATH=/path/to/java:$PATH",Java开发环境配置
流行 Java 开发工具,"正所谓工欲善其事必先利其器，我们在开发 Java 语言过程中同样需要一款不错的开发工具，目前市场上的 IDE 很多，本文为大家推荐以下下几款 Java 开发工具：
Eclipse（推荐）:另一个免费开源的 Java IDE，下载地址： https://www.eclipse.org/downloads/packages/
选择 Eclipse IDE for Java Developers：JetBrains的IDEA，现在很多人开始使用了，功能很强大，下载地址：https://www.jetbrains.com/idea/download/
VSCode : VSCode（全称：Visual Studio Code）是一款由微软开发且跨平台的免费源代码编辑器。安装教程： https://www.runoob.com/w3cnote/vscode-tutorial.html
Netbeans:开源免费的 Java IDE，下载地址： https://www.netbeans.org/index.html",Java开发环境配置
Java简介,"Java 可运行于多个平台，如 Windows, Mac OS 及其他多种 UNIX 版本的系统。
移动操作系统 Android 大部分的代码采用 Java 编程语言编程。
Java 是由 Sun Microsystems 公司于 1995 年 5 月推出的 Java 面向对象程序设计语言和 Java 平台的总称。由 James Gosling和同事们共同研发，并在 1995 年正式推出。
后来 Sun 公司被 Oracle （甲骨文）公司收购，Java 也随之成为 Oracle 公司的产品。
Java分为三个体系：
JavaSE（J2SE）（Java2 Platform Standard Edition，java平台标准版）
JavaEE(J2EE)(Java 2 Platform,Enterprise Edition，java平台企业版)
JavaME(J2ME)(Java 2 Platform Micro Edition，java平台微型版)。
2005 年 6 月，JavaOne 大会召开，SUN 公司公开 Java SE 6。此时，Java 的各种版本已经更名，以取消其中的数字 ""2""：J2EE 更名为 Java EE，J2SE 更名为Java SE，J2ME 更名为 Java ME。",Java简介
主要特性,"Java 语言是简单的：
Java 语言的语法与 C 语言和 C++ 语言很接近，使得大多数程序员很容易学习和使用。另一方面，Java 丢弃了 C++ 中很少使用的、很难理解的、令人迷惑的那些特性，如操作符重载、多继承、自动的强制类型转换。特别地，Java 语言不使用指针，而是引用。并提供了自动分配和回收内存空间，使得程序员不必为内存管理而担忧。

Java 语言是面向对象的：
Java 语言提供类、接口和继承等面向对象的特性，为了简单起见，只支持类之间的单继承，但支持接口之间的多继承，并支持类与接口之间的实现机制（关键字为 implements）。Java 语言全面支持动态绑定，而 C++语言只对虚函数使用动态绑定。总之，Java语言是一个纯的面向对象程序设计语言。

Java语言是分布式的：
Java 语言支持 Internet 应用的开发，在基本的 Java 应用编程接口中有一个网络应用编程接口（java net），它提供了用于网络应用编程的类库，包括 URL、URLConnection、Socket、ServerSocket 等。Java 的 RMI（远程方法激活）机制也是开发分布式应用的重要手段。

Java 语言是健壮的：
Java 的强类型机制、异常处理、垃圾的自动收集等是 Java 程序健壮性的重要保证。对指针的丢弃是 Java 的明智选择。Java 的安全检查机制使得 Java 更具健壮性。

Java语言是安全的：
Java通常被用在网络环境中，为此，Java 提供了一个安全机制以防恶意代码的攻击。除了Java 语言具有的许多安全特性以外，Java 对通过网络下载的类具有一个安全防范机制（类 ClassLoader），如分配不同的名字空间以防替代本地的同名类、字节代码检查，并提供安全管理机制（类 SecurityManager）让 Java 应用设置安全哨兵。

Java 语言是体系结构中立的：
Java 程序（后缀为 java 的文件）在 Java 平台上被编译为体系结构中立的字节码格式（后缀为 class 的文件），然后可以在实现这个 Java 平台的任何系统中运行。这种途径适合于异构的网络环境和软件的分发。

Java 语言是可移植的：
这种可移植性来源于体系结构中立性，另外，Java 还严格规定了各个基本数据类型的长度。Java 系统本身也具有很强的可移植性，Java 编译器是用 Java 实现的，Java 的运行环境是用 ANSI C 实现的。

Java 语言是解释型的：
如前所述，Java 程序在 Java 平台上被编译为字节码格式，然后可以在实现这个 Java 平台的任何系统中运行。在运行时，Java 平台中的 Java 解释器对这些字节码进行解释执行，执行过程中需要的类在联接阶段被载入到运行环境中。

Java 是高性能的：
与那些解释型的高级脚本语言相比，Java 的确是高性能的。事实上，Java 的运行速度随着 JIT(Just-In-Time）编译器技术的发展越来越接近于 C++。

Java 语言是多线程的：
在 Java 语言中，线程是一种特殊的对象，它必须由 Thread 类或其子（孙）类来创建。通常有两种方法来创建线程：其一，使用型构为 Thread(Runnable) 的构造子类将一个实现了 Runnable 接口的对象包装成一个线程，其二，从 Thread 类派生出子类并重写 run 方法，使用该子类创建的对象即为线程。值得注意的是 Thread 类已经实现了 Runnable 接口，因此，任何一个线程均有它的 run 方法，而 run 方法中包含了线程所要运行的代码。线程的活动由一组方法来控制。Java 语言支持多个线程的同时执行，并提供多线程之间的同步机制（关键字为 synchronized）。

Java 语言是动态的：
Java 语言的设计目标之一是适应于动态变化的环境。Java 程序需要的类能够动态地被载入到运行环境，也可以通过网络来载入所需要的类。这也有利于软件的升级。另外，Java 中的类有一个运行时刻的表示，能进行运行时刻的类型检查。",Java简介
发展历史,"1995 年 5 月 23 日，Java 语言诞生
1996 年 1 月，第一个 JDK-JDK1.0 诞生
1996 年 4 月，10 个最主要的操作系统供应商申明将在其产品中嵌入 JAVA 技术
1996 年 9 月，约 8.3 万个网页应用了 JAVA 技术来制作
1997 年 2 月 18 日，JDK1.1 发布
1997 年 4 月 2 日，JavaOne 会议召开，参与者逾一万人，创当时全球同类会议规模之纪录
1997 年 9 月，JavaDeveloperConnection 社区成员超过十万
1998 年 2 月，JDK1.1 被下载超过 2,000,000次
1998 年 12 月 8 日，JAVA2 企业平台 J2EE 发布
1999 年 6月，SUN 公司发布 Java 的三个版本：标准版（JavaSE, 以前是 J2SE）、企业版（JavaEE 以前是 J2EE）和微型版（JavaME，以前是 J2ME）
2000 年 5 月 8 日，JDK1.3 发布
2000 年 5 月 29 日，JDK1.4 发布
2001 年 6 月 5 日，NOKIA 宣布，到 2003 年将出售 1 亿部支持 Java 的手机
2001 年 9 月 24 日，J2EE1.3 发布
2002 年 2 月 26 日，J2SE1.4 发布，自此 Java 的计算能力有了大幅提升
2004 年 9 月 30 日 18:00PM，J2SE1.5 发布，成为 Java 语言发展史上的又一里程碑。为了表示该版本的重要性，J2SE1.5 更名为 Java SE 5.0
2005 年 6 月，JavaOne 大会召开，SUN 公司公开 Java SE 6。此时，Java 的各种版本已经更名，以取消其中的数字 ""2""：J2EE 更名为 Java EE，J2SE 更名为 Java SE，J2ME 更名为 Java ME
2006 年 12 月，SUN 公司发布 JRE6.0
2009 年 04 月 20 日，甲骨文 74 亿美元收购 Sun，取得 Java 的版权。
2010 年 11 月，由于甲骨文对于 Java 社区的不友善，因此 Apache 扬言将退出 JCP。
2011 年 7 月 28 日，甲骨文发布 Java7.0 的正式版。
2014 年 3 月 18 日，Oracle 公司发表 Java SE 8。
2017 年 9 月 21 日，Oracle 公司发表 Java SE 9
2018 年 3 月 21 日，Oracle 公司发表 Java SE 10
2018 年 9 月 25 日，Java SE 11 发布
2019 年 3 月 20 日，Java SE 12 发布",Java简介
Java开发工具,"Java 语言尽量保证系统内存在 1G 以上，其他工具如下所示：
Linux 系统、Mac OS 系统、Windows 95/98/2000/XP，WIN 7/8系统。
Java JDK 7、8……
vscode 编辑器或者其他编辑器。
IDE：Eclipse、 IntelliJ IDEA、NetBeans 等。
安装好以上的工具后，我们就可以输出Java的第一个程序 ""Hello World！""
public class HelloWorld {
    public static void main(String[] args) {
        System.out.println(""Hello World"");
    }
}",Java简介
Java对象和类,"Java作为一种面向对象语言。支持以下基本概念：
多态
继承
封装
抽象
类
对象
实例
方法
重载
本节我们重点研究对象和类的概念。

对象：对象是类的一个实例（对象不是找个女朋友），有状态和行为。例如，一条狗是一个对象，它的状态有：颜色、名字、品种；行为有：摇尾巴、叫、吃等。
类：类是一个模板，它描述一类对象的行为和状态。",Java对象和类
Java中的对象,"现在让我们深入了解什么是对象。看看周围真实的世界，会发现身边有很多对象，车，狗，人等等。所有这些对象都有自己的状态和行为。
拿一条狗来举例，它的状态有：名字、品种、颜色，行为有：叫、摇尾巴和跑。
对比现实对象和软件对象，它们之间十分相似。
软件对象也有状态和行为。软件对象的状态就是属性，行为通过方法体现。
在软件开发中，方法操作对象内部状态的改变，对象的相互调用也是通过方法来完成。",Java对象和类
Java中的类,"类可以看成是创建 Java 对象的模板。public class Dog {
    String breed;
    int size;
    String colour;
    int age;
 
    void eat() {
    }
 
    void run() {
    }
 
    void sleep(){
    }
 
    void name(){
    }
}
一个类可以包含以下类型变量：
局部变量：在方法、构造方法或者语句块中定义的变量被称为局部变量。变量声明和初始化都是在方法中，方法结束后，变量就会自动销毁。
成员变量：成员变量是定义在类中，方法体之外的变量。这种变量在创建对象的时候实例化。成员变量可以被类中方法、构造方法和特定类的语句块访问。
类变量：类变量也声明在类中，方法体之外，但必须声明为 static 类型。
一个类可以拥有多个方法，在上面的例子中：eat()、run()、sleep() 和 name() 都是 Dog 类的方法。",Java对象和类
构造方法,"每个类都有构造方法。如果没有显式地为类定义构造方法，Java 编译器将会为该类提供一个默认构造方法。
在创建一个对象的时候，至少要调用一个构造方法。构造方法的名称必须与类同名，一个类可以有多个构造方法。
下面是一个构造方法示例：

public class Puppy{
    public Puppy(){
    }
 
    public Puppy(String name){
        // 这个构造器仅有一个参数：name
    }
}",Java对象和类
创建对象,"对象是根据类创建的。在Java中，使用关键字 new 来创建一个新的对象。创建对象需要以下三步：
声明：声明一个对象，包括对象名称和对象类型。
实例化：使用关键字 new 来创建一个对象。
初始化：使用 new 创建对象时，会调用构造方法初始化对象。
下面是一个创建对象的例子：
public class Puppy{
   public Puppy(String name){
      //这个构造器仅有一个参数：name
      System.out.println(""小狗的名字是 : "" + name ); 
   }
   public static void main(String[] args){
      // 下面的语句将创建一个Puppy对象
      Puppy myPuppy = new Puppy( ""tommy"" );
   }
}
编译并运行上面的程序，会打印出下面的结果：
小狗的名字是 : tommy

访问实例变量和方法
通过已创建的对象来访问成员变量和成员方法，如下所示：
/* 实例化对象 */
Object referenceVariable = new Constructor();
/* 访问类中的变量 */
referenceVariable.variableName;
/* 访问类中的方法 */
referenceVariable.methodName();

实例
下面的例子展示如何访问实例变量和调用成员方法：

public class Puppy{
   int puppyAge;
   public Puppy(String name){
      // 这个构造器仅有一个参数：name
      System.out.println(""小狗的名字是 : "" + name ); 
   }
 
   public void setAge( int age ){
       puppyAge = age;
   }
 
   public int getAge( ){
       System.out.println(""小狗的年龄为 : "" + puppyAge ); 
       return puppyAge;
   }
 
   public static void main(String[] args){
      /* 创建对象 */
      Puppy myPuppy = new Puppy( ""tommy"" );
      /* 通过方法来设定age */
      myPuppy.setAge( 2 );
      /* 调用另一个方法获取age */
      myPuppy.getAge( );
      /*你也可以像下面这样访问成员变量 */
      System.out.println(""变量值 : "" + myPuppy.puppyAge ); 
   }
}
编译并运行上面的程序，产生如下结果：
小狗的名字是 : tommy
小狗的年龄为 : 2
变量值 : 2",Java对象和类
源文件声明规则,"在本节的最后部分，我们将学习源文件的声明规则。当在一个源文件中定义多个类，并且还有import语句和package语句时，要特别注意这些规则。

一个源文件中只能有一个 public 类
一个源文件可以有多个非 public 类
源文件的名称应该和 public 类的类名保持一致。例如：源文件中 public 类的类名是 Employee，那么源文件应该命名为Employee.java。
如果一个类定义在某个包中，那么 package 语句应该在源文件的首行。
如果源文件包含 import 语句，那么应该放在 package 语句和类定义之间。如果没有 package 语句，那么 import 语句应该在源文件中最前面。
import 语句和 package 语句对源文件中定义的所有类都有效。在同一源文件中，不能给不同的类不同的包声明。
类有若干种访问级别，并且类也分不同的类型：抽象类和 final 类等。这些将在访问控制章节介绍。

除了上面提到的几种类型，Java 还有一些特殊的类，如：内部类、匿名类。",Java对象和类
Java包,包主要用来对类和接口进行分类。当开发 Java 程序时，可能编写成百上千的类，因此很有必要对类和接口进行分类。,Java对象和类
Import语句,"在 Java 中，如果给出一个完整的限定名，包括包名、类名，那么 Java 编译器就可以很容易地定位到源代码或者类。import 语句就是用来提供一个合理的路径，使得编译器可以找到某个类。

例如，下面的命令行将会命令编译器载入 java_installation/java/io 路径下的所有类
import java.io.*;",Java对象和类
Java基本数据类型,"变量就是申请内存来存储值。也就是说，当创建变量的时候，需要在内存中申请空间。
内存管理系统根据变量的类型为变量分配存储空间，分配的空间只能用来储存该类型数据。因此，通过定义不同类型的变量，可以在内存中储存整数、小数或者字符。
Java 的两大数据类型:
内置数据类型
引用数据类型",Java基本数据类型
内置数据类型,"Java语言提供了八种基本类型。六种数字类型（四个整数型，两个浮点型），一种字符类型，还有一种布尔型。

byte：

byte 数据类型是8位、有符号的，以二进制补码表示的整数；
最小值是 -128（-2^7）；
最大值是 127（2^7-1）；
默认值是 0；
byte 类型用在大型数组中节约空间，主要代替整数，因为 byte 变量占用的空间只有 int 类型的四分之一；
例子：byte a = 100，byte b = -50。
short：

short 数据类型是 16 位、有符号的以二进制补码表示的整数
最小值是 -32768（-2^15）；
最大值是 32767（2^15 - 1）；
Short 数据类型也可以像 byte 那样节省空间。一个short变量是int型变量所占空间的二分之一；
默认值是 0；
例子：short s = 1000，short r = -20000。
int：

int 数据类型是32位、有符号的以二进制补码表示的整数；
最小值是 -2,147,483,648（-2^31）；
最大值是 2,147,483,647（2^31 - 1）；
一般地整型变量默认为 int 类型；
默认值是 0 ；
例子：int a = 100000, int b = -200000。
long：

long 数据类型是 64 位、有符号的以二进制补码表示的整数；
最小值是 -9,223,372,036,854,775,808（-2^63）；
最大值是 9,223,372,036,854,775,807（2^63 -1）；
这种类型主要使用在需要比较大整数的系统上；
默认值是 0L；
例子： long a = 100000L，long b = -200000L。
""L""理论上不分大小写，但是若写成""l""容易与数字""1""混淆，不容易分辩。所以最好大写。
float：

float 数据类型是单精度、32位、符合IEEE 754标准的浮点数；
float 在储存大型浮点数组的时候可节省内存空间；
默认值是 0.0f；
浮点数不能用来表示精确的值，如货币；
例子：float f1 = 234.5f。
double：

double 数据类型是双精度、64 位、符合 IEEE 754 标准的浮点数；
浮点数的默认类型为 double 类型；
double类型同样不能表示精确的值，如货币；
默认值是 0.0d；
例子：

double   d1  = 7D ;
double   d2  = 7.; 
double   d3  =  8.0; 
double   d4  =  8.D; 
double   d5  =  12.9867; 
7 是一个 int 字面量，而 7D，7. 和 8.0 是 double 字面量。

boolean：

boolean数据类型表示一位的信息；
只有两个取值：true 和 false；
这种类型只作为一种标志来记录 true/false 情况；
默认值是 false；
例子：boolean one = true。
char：

char 类型是一个单一的 16 位 Unicode 字符；
最小值是 \u0000（十进制等效值为 0）；
最大值是 \uffff（即为 65535）；
char 数据类型可以储存任何字符；
例子：char letter = 'A';。

实例
对于数值类型的基本类型的取值范围，我们无需强制去记忆，因为它们的值都已经以常量的形式定义在对应的包装类中了。请看下面的例子：

实例
public class PrimitiveTypeTest {  
    public static void main(String[] args) {  
        // byte  
        System.out.println(""基本类型：byte 二进制位数："" + Byte.SIZE);  
        System.out.println(""包装类：java.lang.Byte"");  
        System.out.println(""最小值：Byte.MIN_VALUE="" + Byte.MIN_VALUE);  
        System.out.println(""最大值：Byte.MAX_VALUE="" + Byte.MAX_VALUE);  
        System.out.println();  
  
        // short  
        System.out.println(""基本类型：short 二进制位数："" + Short.SIZE);  
        System.out.println(""包装类：java.lang.Short"");  
        System.out.println(""最小值：Short.MIN_VALUE="" + Short.MIN_VALUE);  
        System.out.println(""最大值：Short.MAX_VALUE="" + Short.MAX_VALUE);  
        System.out.println();  
  
        // int  
        System.out.println(""基本类型：int 二进制位数："" + Integer.SIZE);  
        System.out.println(""包装类：java.lang.Integer"");  
        System.out.println(""最小值：Integer.MIN_VALUE="" + Integer.MIN_VALUE);  
        System.out.println(""最大值：Integer.MAX_VALUE="" + Integer.MAX_VALUE);  
        System.out.println();  
  
        // long  
        System.out.println(""基本类型：long 二进制位数："" + Long.SIZE);  
        System.out.println(""包装类：java.lang.Long"");  
        System.out.println(""最小值：Long.MIN_VALUE="" + Long.MIN_VALUE);  
        System.out.println(""最大值：Long.MAX_VALUE="" + Long.MAX_VALUE);  
        System.out.println();  
  
        // float  
        System.out.println(""基本类型：float 二进制位数："" + Float.SIZE);  
        System.out.println(""包装类：java.lang.Float"");  
        System.out.println(""最小值：Float.MIN_VALUE="" + Float.MIN_VALUE);  
        System.out.println(""最大值：Float.MAX_VALUE="" + Float.MAX_VALUE);  
        System.out.println();  
  
        // double  
        System.out.println(""基本类型：double 二进制位数："" + Double.SIZE);  
        System.out.println(""包装类：java.lang.Double"");  
        System.out.println(""最小值：Double.MIN_VALUE="" + Double.MIN_VALUE);  
        System.out.println(""最大值：Double.MAX_VALUE="" + Double.MAX_VALUE);  
        System.out.println();  
  
        // char  
        System.out.println(""基本类型：char 二进制位数："" + Character.SIZE);  
        System.out.println(""包装类：java.lang.Character"");  
        // 以数值形式而不是字符形式将Character.MIN_VALUE输出到控制台  
        System.out.println(""最小值：Character.MIN_VALUE=""  
                + (int) Character.MIN_VALUE);  
        // 以数值形式而不是字符形式将Character.MAX_VALUE输出到控制台  
        System.out.println(""最大值：Character.MAX_VALUE=""  
                + (int) Character.MAX_VALUE);  
    }  
}

运行实例 ?
编译以上代码输出结果如下所示：

基本类型：byte 二进制位数：8
包装类：java.lang.Byte
最小值：Byte.MIN_VALUE=-128
最大值：Byte.MAX_VALUE=127

基本类型：short 二进制位数：16
包装类：java.lang.Short
最小值：Short.MIN_VALUE=-32768
最大值：Short.MAX_VALUE=32767

基本类型：int 二进制位数：32
包装类：java.lang.Integer
最小值：Integer.MIN_VALUE=-2147483648
最大值：Integer.MAX_VALUE=2147483647

基本类型：long 二进制位数：64
包装类：java.lang.Long
最小值：Long.MIN_VALUE=-9223372036854775808
最大值：Long.MAX_VALUE=9223372036854775807

基本类型：float 二进制位数：32
包装类：java.lang.Float
最小值：Float.MIN_VALUE=1.4E-45
最大值：Float.MAX_VALUE=3.4028235E38

基本类型：double 二进制位数：64
包装类：java.lang.Double
最小值：Double.MIN_VALUE=4.9E-324
最大值：Double.MAX_VALUE=1.7976931348623157E308

基本类型：char 二进制位数：16
包装类：java.lang.Character
最小值：Character.MIN_VALUE=0
最大值：Character.MAX_VALUE=65535
Float和Double的最小值和最大值都是以科学记数法的形式输出的，结尾的""E+数字""表示E之前的数字要乘以10的多少次方。比如3.14E3就是3.14 × 103 =3140，3.14E-3 就是 3.14 x 10-3 =0.00314。

实际上，JAVA中还存在另外一种基本类型 void，它也有对应的包装类 java.lang.Void，不过我们无法直接对它们进行操作。",Java基本数据类型
类型默认值,"下表列出了 Java 各个类型的默认值：
数据类型 默认值
byte   0
short  0
int   0
long   0L
float   0.0f
double  0.0d
char   'u0000'
String (or any object) null
boolean  false

实例
public class Test {
    static boolean bool;
    static byte by;
    static char ch;
    static double d;
    static float f;
    static int i;
    static long l;
    static short sh;
    static String str;
 
    public static void main(String[] args) {
        System.out.println(""Bool :"" + bool);
        System.out.println(""Byte :"" + by);
        System.out.println(""Character:"" + ch);
        System.out.println(""Double :"" + d);
        System.out.println(""Float :"" + f);
        System.out.println(""Integer :"" + i);
        System.out.println(""Long :"" + l);
        System.out.println(""Short :"" + sh);
        System.out.println(""String :"" + str);
    }
}
实例输出结果为：

Bool     :false
Byte     :0
Character:
Double   :0.0
Float    :0.0
Integer  :0
Long     :0
Short    :0
String   :null",Java基本数据类型
引用类型,"在Java中，引用类型的变量非常类似于C/C++的指针。引用类型指向一个对象，指向对象的变量是引用变量。这些变量在声明时被指定为一个特定的类型，比如 Employee、Puppy 等。变量一旦声明后，类型就不能被改变了。
对象、数组都是引用数据类型。
所有引用类型的默认值都是null。
一个引用变量可以用来引用任何与之兼容的类型。
例子：Site site = new Site(""Runoob"")。",Java基本数据类型
Java常量,"常量在程序运行时是不能被修改的。
在 Java 中使用 final 关键字来修饰常量，声明方式和变量类似：
final double PI = 3.1415927;
虽然常量名也可以用小写，但为了便于识别，通常使用大写字母表示常量。
字面量可以赋给任何内置类型的变量。例如：
byte a = 68;
char a = 'A'
byte、int、long、和short都可以用十进制、16进制以及8进制的方式来表示。

当使用字面量的时候，前缀 0 表示 8 进制，而前缀 0x 代表 16 进制, 例如：
int decimal = 100;
int octal = 0144;
int hexa =  0x64;
和其他语言一样，Java的字符串常量也是包含在两个引号之间的字符序列。下面是字符串型字面量的例子：
""Hello World""
""two\nlines""
""\""This is in quotes\""""
字符串常量和字符变量都可以包含任何 Unicode 字符。例如：
char a = '\u0001';
String a = ""\u0001"";
Java语言支持一些特殊的转义字符序列。
符号 字符含义
\n  换行 (0x0a)
\r  回车 (0x0d)
\f  换页符(0x0c)
\b  退格 (0x08)
\0  空字符 (0x0)
\s  空格 (0x20)
\t  制表符
\""  双引号
\'  单引号
\\  反斜杠
\ddd  八进制字符 (ddd)
\uxxxx 16进制Unicode字符 (xxxx)",Java基本数据类型
